2-THETA,INTENSITY
2,2084
2.05,2890
2.1,2453
2.15,2904
2.2,2434
2.25,2203
2.3,2778
2.35,1674
2.4,2428
2.45,2361
2.5,1831
2.55,2001
2.6,1798
2.65,2084
2.7,1742
2.75,1743
2.8,1505
2.85,1603
2.9,1389
2.95,1345
3,1383
3.05,1303
3.1,1236
3.15,1219
3.2,1122
3.25,987
3.3,1076
3.35,1017
3.4,876
3.45,952
3.5,771
3.55,866
3.6,811
3.65,862
3.7,736
3.75,636
3.8,706
3.85,591
3.9,638
3.95,685
4,592
4.05,651
4.1,536
4.15,591
4.2,513
4.25,532
4.3,490
4.35,411
4.4,485
4.45,425
4.5,487
4.55,394
4.6,357
4.65,430
4.7,416
4.75,382
4.8,376
4.85,355
4.9,372
4.95,359
5,399
5.05,379
5.1,329
5.15,329
5.2,355
5.25,332
5.3,347
5.35,344
5.4,307
5.45,292
5.5,298
5.55,308
5.6,251
5.65,275
5.7,281
5.75,319
5.8,296
5.85,272
5.9,297
5.95,296
6,266
6.05,269
6.1,321
6.15,287
6.2,313
6.25,321
6.3,307
6.35,337
6.4,341
6.45,308
6.5,281
6.55,353
6.6,325
6.65,321
6.7,290
6.75,310
6.8,285
6.85,308
6.9,252
6.95,236
7,232
7.05,226
7.1,198
7.15,250
7.2,211
7.25,225
7.3,184
7.35,213
7.4,190
7.45,185
7.5,185
7.55,213
7.6,178
7.65,196
7.7,167
7.75,187
7.8,175
7.85,169
7.9,181
7.95,164
8,153
8.05,158
8.1,191
8.15,163
8.2,201
8.25,172
8.3,177
8.35,191
8.4,179
8.45,169
8.5,172
8.55,197
8.6,159
8.65,170
8.7,168
8.75,169
8.8,176
8.85,162
8.9,177
8.95,186
9,159
9.05,164
9.1,156
9.15,172
9.2,155
9.25,171
9.3,162
9.35,159
9.4,160
9.45,150
9.5,147
9.55,164
9.6,174
9.65,157
9.7,150
9.75,159
9.8,159
9.85,161
9.9,151
9.95,152
10,147
10.05,144
10.1,128
10.15,174
10.2,153
10.25,179
10.3,151
10.35,133
10.4,147
10.45,144
10.5,154
10.55,154
10.6,133
10.65,141
10.7,145
10.75,165
10.8,141
10.85,146
10.9,141
10.95,162
11,161
11.05,143
11.1,150
11.15,156
11.2,157
11.25,168
11.3,138
11.35,142
11.4,153
11.45,154
11.5,121
11.55,151
11.6,142
11.65,137
11.7,146
11.75,138
11.8,128
11.85,142
11.9,137
11.95,159
12,135
12.05,132
12.1,144
12.15,139
12.2,140
12.25,140
12.3,147
12.35,154
12.4,134
12.45,138
12.5,151
12.55,143
12.6,139
12.65,151
12.7,139
12.75,162
12.8,144
12.85,155
12.9,168
12.95,167
13,165
13.05,150
13.1,165
13.15,157
13.2,142
13.25,150
13.3,157
13.35,180
13.4,181
13.45,222
13.5,264
13.55,246
13.6,267
13.65,247
13.7,221
13.75,188
13.8,164
13.85,155
13.9,151
13.95,154
14,158
14.05,166
14.1,146
14.15,145
14.2,155
14.25,132
14.3,145
14.35,164
14.4,154
14.45,146
14.5,158
14.55,149
14.6,167
14.65,161
14.7,138
14.75,143
14.8,146
14.85,154
14.9,163
14.95,150
15,158
15.05,158
15.1,157
15.15,158
15.2,170
15.25,153
15.3,135
15.35,149
15.4,141
15.45,139
15.5,141
15.55,144
15.6,153
15.65,145
15.7,149
15.75,161
15.8,159
15.85,159
15.9,161
15.95,185
16,163
16.05,179
16.1,168
16.15,190
16.2,155
16.25,152
16.3,168
16.35,168
16.4,147
16.45,149
16.5,155
16.55,138
16.6,165
16.65,164
16.7,162
16.75,159
16.8,144
16.85,162
16.9,168
16.95,158
17,180
17.05,162
17.1,176
17.15,155
17.2,150
17.25,163
17.3,192
17.35,169
17.4,164
17.45,172
17.5,186
17.55,164
17.6,170
17.65,165
17.7,160
17.75,167
17.8,165
17.85,160
17.9,155
17.95,172
18,167
18.05,171
18.1,155
18.15,172
18.2,171
18.25,163
18.3,170
18.35,155
18.4,167
18.45,178
18.5,168
18.55,164
18.6,171
18.65,154
18.7,172
18.75,169
18.8,164
18.85,166
18.9,164
18.95,176
19,181
19.05,166
19.1,176
19.15,169
19.2,176
19.25,162
19.3,156
19.35,161
19.4,170
19.45,160
19.5,170
19.55,170
19.6,167
19.65,181
19.7,161
19.75,160
19.8,147
19.85,176
19.9,172
19.95,171
20,165
20.05,184
20.1,159
20.15,162
20.2,175
20.25,159
20.3,178
20.35,177
20.4,178
20.45,160
20.5,167
20.55,161
20.6,174
20.65,166
20.7,169
20.75,181
20.8,183
20.85,177
20.9,179
20.95,176
21,181
21.05,185
21.1,172
21.15,200
21.2,181
21.25,192
21.3,189
21.35,189
21.4,194
21.45,182
21.5,182
21.55,194
21.6,188
21.65,187
21.7,189
21.75,195
21.8,209
21.85,216
21.9,218
21.95,207
22,212
22.05,214
22.1,221
22.15,199
22.2,199
22.25,204
22.3,188
22.35,191
22.4,197
22.45,194
22.5,195
22.55,211
22.6,191
22.65,199
22.7,195
22.75,183
22.8,192
22.85,200
22.9,189
22.95,218
23,215
23.05,242
23.1,235
23.15,253
23.2,251
23.25,247
23.3,227
23.35,231
23.4,205
23.45,210
23.5,217
23.55,222
23.6,221
23.65,205
23.7,203
23.75,212
23.8,220
23.85,218
23.9,236
23.95,251
24,251
24.05,279
24.1,301
24.15,336
24.2,357
24.25,328
24.3,330
