KEV,INTENSITY
0.4048,4.9674
0.4127,4.9504
0.4206,4.927
0.4286,4.9065
0.4365,4.8833
0.4444,4.8625
0.4524,4.8435
0.4603,4.822
0.4683,4.7984
0.4762,4.7745
0.4841,4.7464
0.4921,4.7313
0.5,4.7078
0.5079,4.6807
0.5159,4.6561
0.5238,4.6308
0.5317,4.605
0.5397,4.5863
0.5476,4.5601
0.5556,4.5384
0.5635,4.5144
0.5714,4.4909
0.5794,4.4619
0.5873,4.4391
0.5952,4.4137
0.6032,4.3978
0.6111,4.3743
0.619,4.3558
0.627,4.3298
0.6349,4.303
0.6429,4.283
0.6508,4.2555
0.6587,4.2297
0.6667,4.2101
0.6746,4.1892
0.6825,4.1633
0.6905,4.14
0.6984,4.1183
0.7063,4.096
0.7143,4.0683
0.7222,4.0449
0.7302,4.0278
0.7381,4.0062
0.746,3.9803
0.754,3.9598
0.7619,3.936
0.7698,3.9183
0.7778,3.8928
0.7857,3.8671
0.7937,3.8557
0.8016,3.8293
0.8095,3.8119
0.8175,3.791
0.8254,3.7701
0.8333,3.7517
0.8413,3.7323
0.8492,3.7068
0.8571,3.6925
0.8651,3.6733
0.873,3.6556
0.881,3.6359
0.8889,3.611
0.8968,3.5962
0.9048,3.5857
0.9127,3.5591
0.9206,3.5545
0.9286,3.527
0.9365,3.5094
0.9444,3.4916
0.9524,3.4786
0.9603,3.4566
0.9683,3.4437
0.9762,3.4294
0.9841,3.4216
0.9921,3.3939
1,3.3835
1.0079,3.3738
1.0159,3.3456
1.0238,3.3457
1.0317,3.3267
1.0397,3.3221
1.0476,3.3006
1.0556,3.2845
1.0635,3.2679
1.0714,3.2465
1.0794,3.2473
1.0873,3.2305
1.0952,3.2329
1.1032,3.2124
1.1111,3.1999
1.119,3.1824
1.127,3.1852
1.1349,3.1659
1.1429,3.1491
1.1508,3.1433
1.1587,3.1343
1.1667,3.1219
1.1746,3.1096
1.1825,3.1057
1.1905,3.0759
1.1984,3.0745
1.2063,3.0799
1.2143,3.0575
1.2222,3.0452
1.2302,3.0373
1.2381,3.0423
1.246,3.0138
1.254,3.0048
1.2619,2.9986
1.2698,2.9868
1.2778,2.9796
1.2857,2.9744
1.2937,2.9611
1.3016,2.9533
1.3095,2.9487
1.3175,2.9291
1.3254,2.9335
1.3333,2.9128
1.3413,2.9102
1.3492,2.893
1.3571,2.8609
1.3651,2.8373
1.373,2.8481
1.381,2.8387
1.3889,2.8357
1.3968,2.8388
1.4048,2.8083
1.4127,2.822
1.4206,2.7982
1.4286,2.8184
1.4365,2.8004
1.4444,2.802
1.4524,2.7828
1.4603,2.7708
1.4683,2.764
1.4762,2.751
1.4841,2.7539
1.4921,2.7345
1.5,2.7292
1.5079,2.7162
1.5159,2.7043
1.5238,2.7053
1.5317,2.6941
1.5397,2.6759
1.5476,2.6834
1.5556,2.685
1.5635,2.6724
1.5714,2.6613
1.5794,2.6723
1.5873,2.6351
1.5952,2.6447
1.6032,2.6381
1.6111,2.6211
1.619,2.6087
1.627,2.6346
1.6349,2.6225
1.6429,2.6208
1.6508,2.6072
1.6587,2.5814
1.6667,2.5666
1.6746,2.5738
1.6825,2.5532
1.6905,2.5721
1.6984,2.5584
1.7063,2.5286
1.7143,2.5474
1.7222,2.5264
1.7302,2.5267
1.7381,2.5307
1.746,2.5452
1.754,2.52
1.7619,2.5186
1.7698,2.495
1.7778,2.4799
1.7857,2.4897
1.7937,2.4741
1.8016,2.4827
1.8095,2.4735
1.8175,2.4452
1.8254,2.4469
1.8333,2.4315
1.8413,2.4401
1.8492,2.4253
1.8571,2.4138
1.8651,2.418
1.873,2.4268
1.881,2.4215
1.8889,2.3885
1.8968,2.3952
1.9048,2.4143
1.9127,2.3839
1.9206,2.3775
1.9286,2.3719
1.9365,2.3789
