KEV,INTENSITY
0.37976,4.3042
0.3872,4.2572
0.39465,4.20995
0.4021,4.16145
0.40954,4.12075
0.41699,4.07505
0.42444,4.0266
0.43188,3.98975
0.43933,3.94795
0.44677,3.9076
0.45422,3.85395
0.46167,3.81315
0.46911,3.7768
0.47656,3.72715
0.48401,3.6947
0.49145,3.65285
0.4989,3.6154
0.50634,3.57605
0.51379,3.5422
0.52124,3.50825
0.52868,3.47115
0.53613,3.4363
0.54358,3.40155
0.55102,3.38585
0.55847,3.34435
0.56591,3.31055
0.57336,3.2704
0.58081,3.23545
0.58825,3.23165
0.5957,3.19385
0.60315,3.1721
0.61059,3.12055
0.61804,3.1303
0.62548,3.1097
0.63293,3.07495
0.64038,3.06505
0.64782,3.0231
0.65527,3.00825
0.66272,3.0025
0.67016,2.9562
0.67761,2.94685
0.68505,2.9378
0.6925,2.9346
0.69995,2.8937
0.70739,2.87745
0.71484,2.84565
0.72228,2.85465
0.72973,2.80685
0.73718,2.79515
0.74462,2.7768
0.75207,2.7455
0.75952,2.7697
0.76696,2.7801
0.77441,2.73825
0.78185,2.7401
0.7893,2.7012
0.79675,2.68715
0.80419,2.6667
0.81164,2.66095
0.81909,2.6628
0.82653,2.656
0.83398,2.6313
0.84142,2.66955
0.84887,2.6144
0.85632,2.60855
0.86376,2.60545
0.87121,2.5752
0.87866,2.5659
0.8861,2.57055
0.89355,2.5334
0.90099,2.5317
0.90844,2.52845
0.91589,2.51315
0.92333,2.52395
0.93078,2.5228
0.93823,2.47255
0.94567,2.501
0.95312,2.48895
0.96056,2.47655
0.96801,2.48555
0.97546,2.4222
0.9829,2.43205
0.99035,2.4278
0.9978,2.42565
1.00524,2.4224
1.01269,2.3954
1.02013,2.4292
1.02758,2.41555
1.03503,2.4064
1.04247,2.44915
1.04992,2.40975
1.05737,2.4183
1.06481,2.3872
1.07226,2.3995
1.0797,2.3893
1.08715,2.38555
1.0946,2.40035
1.10204,2.37215
1.10949,2.33435
1.11694,2.35595
1.12438,2.3636
1.13183,2.3288
1.13927,2.3304
1.14672,2.3371
1.15417,2.3165
1.16161,2.3457
1.16906,2.3096
1.17651,2.3123
1.18395,2.2967
1.1914,2.30955
1.19884,2.29575
1.20629,2.3555
1.21374,2.32895
1.22118,2.30855
1.22863,2.27245
1.23608,2.25525
1.24352,2.28595
1.25097,2.26245
1.25841,2.27135
1.26586,2.2285
1.27331,2.2634
1.28075,2.2366
1.2882,2.2565
1.29565,2.34335
1.30309,2.24725
1.31054,2.2523
1.31798,2.23525
1.32543,2.28015
1.33288,2.26595
1.34032,2.30815
1.34777,2.2775
1.35522,2.3105
1.36266,2.32345
1.37011,2.30865
1.37755,2.3317
1.385,2.32395
1.39245,2.31105
1.39989,2.35645
1.40734,2.352
1.41478,2.36915
1.42223,2.3553
1.42968,2.3635
1.43712,2.3683
1.44457,2.35185
1.45202,2.33185
1.45946,2.36995
1.46691,2.355
1.47435,2.3451
1.4818,2.3784
1.48925,2.36715
1.49669,2.33445
1.50414,2.31705
1.51159,2.36995
1.51903,2.3191
1.52648,2.33325
1.53392,2.33175
1.54137,2.28385
1.54882,2.2929
1.55626,2.277
1.56371,2.2569
1.57116,2.2822
1.5786,2.2461
1.58605,2.18915
1.59349,2.2245
1.60094,2.2163
1.60839,2.19035
1.61583,2.1449
1.62328,2.18435
1.63073,2.16465
1.63817,2.15835
1.64562,2.1203
1.65306,2.08665
1.66051,2.0614
1.66796,2.06915
1.6754,2.08465
1.68285,2.0898
1.6903,2.07305
1.69774,2.0319
1.70519,2.0545
1.71263,2.02625
1.72008,2.05865
