2-THETA,INTENSITY
2,1404
2.05,2026
2.1,1530
2.15,1699
2.2,1824
2.25,1351
2.3,1717
2.35,1146
2.4,1325
2.45,1305
2.5,1199
2.55,1099
2.6,1140
2.65,1073
2.7,1137
2.75,865
2.8,1040
2.85,972
2.9,789
2.95,853
3,744
3.05,868
3.1,745
3.15,664
3.2,698
3.25,584
3.3,659
3.35,646
3.4,528
3.45,654
3.5,452
3.55,625
3.6,469
3.65,533
3.7,549
3.75,415
3.8,416
3.85,411
3.9,432
3.95,429
4,383
4.05,426
4.1,339
4.15,413
4.2,380
4.25,315
4.3,383
4.35,304
4.4,329
4.45,354
4.5,292
4.55,279
4.6,288
4.65,295
4.7,288
4.75,249
4.8,261
4.85,257
4.9,225
4.95,238
5,283
5.05,263
5.1,255
5.15,253
5.2,263
5.25,238
5.3,269
5.35,200
5.4,208
5.45,229
5.5,216
5.55,228
5.6,194
5.65,223
5.7,218
5.75,227
5.8,215
5.85,227
5.9,257
5.95,196
6,226
6.05,236
6.1,228
6.15,269
6.2,256
6.25,242
6.3,241
6.35,291
6.4,280
6.45,240
6.5,271
6.55,259
6.6,261
6.65,257
6.7,236
6.75,243
6.8,198
6.85,228
6.9,197
6.95,200
7,203
7.05,169
7.1,191
7.15,188
7.2,183
7.25,182
7.3,187
7.35,144
7.4,164
7.45,174
7.5,186
7.55,192
7.6,156
7.65,179
7.7,151
7.75,158
7.8,163
7.85,190
7.9,147
7.95,150
8,140
8.05,148
8.1,153
8.15,144
8.2,159
8.25,151
8.3,159
8.35,161
8.4,123
8.45,162
8.5,150
8.55,147
8.6,156
8.65,154
8.7,158
8.75,155
8.8,182
8.85,140
8.9,153
8.95,153
9,152
9.05,151
9.1,146
9.15,142
9.2,148
9.25,161
9.3,157
9.35,170
9.4,149
9.45,140
9.5,151
9.55,154
9.6,158
9.65,152
9.7,179
9.75,146
9.8,161
9.85,173
9.9,125
9.95,166
10,166
10.05,153
10.1,148
10.15,152
10.2,153
10.25,156
10.3,168
10.35,150
10.4,169
10.45,161
10.5,161
10.55,135
10.6,163
10.65,160
10.7,136
10.75,149
10.8,152
10.85,161
10.9,141
10.95,149
11,130
11.05,148
11.1,120
11.15,131
11.2,131
11.25,136
11.3,140
11.35,141
11.4,113
11.45,120
11.5,123
11.55,125
11.6,137
11.65,129
11.7,123
11.75,123
11.8,139
11.85,121
11.9,113
11.95,125
12,138
12.05,117
12.1,121
12.15,136
12.2,137
12.25,117
12.3,129
12.35,126
12.4,127
12.45,120
12.5,131
12.55,116
12.6,137
12.65,119
12.7,134
12.75,115
12.8,127
12.85,135
12.9,138
12.95,114
13,149
13.05,135
13.1,118
13.15,121
13.2,119
13.25,117
13.3,122
13.35,123
13.4,123
13.45,120
13.5,120
13.55,132
13.6,133
13.65,121
13.7,127
13.75,136
13.8,123
13.85,119
13.9,116
13.95,124
14,125
14.05,136
14.1,128
14.15,137
14.2,137
14.25,121
14.3,123
14.35,137
14.4,128
14.45,128
14.5,135
14.55,129
14.6,126
14.65,127
14.7,130
14.75,128
14.8,128
14.85,137
14.9,132
14.95,121
15,125
15.05,137
15.1,127
15.15,136
15.2,131
15.25,106
15.3,125
15.35,139
15.4,145
15.45,120
15.5,138
15.55,135
15.6,130
15.65,134
15.7,138
15.75,147
15.8,141
15.85,169
15.9,185
15.95,192
16,208
16.05,182
16.1,170
16.15,151
16.2,156
16.25,155
16.3,147
16.35,142
16.4,147
16.45,146
16.5,129
16.55,129
16.6,126
16.65,138
16.7,131
16.75,143
16.8,139
16.85,142
16.9,140
16.95,146
17,149
17.05,142
17.1,157
17.15,157
17.2,141
17.25,149
17.3,152
17.35,155
17.4,153
17.45,149
17.5,146
17.55,149
17.6,152
17.65,164
17.7,148
17.75,147
17.8,150
17.85,147
17.9,144
17.95,133
18,133
18.05,156
18.1,148
18.15,152
18.2,163
18.25,151
18.3,147
18.35,148
18.4,148
18.45,152
18.5,143
18.55,137
18.6,137
18.65,145
18.7,139
18.75,137
18.8,151
18.85,137
18.9,145
18.95,134
19,137
19.05,140
19.1,122
19.15,139
19.2,140
19.25,149
19.3,150
19.35,143
19.4,145
19.45,136
19.5,157
19.55,141
19.6,158
19.65,146
19.7,152
19.75,147
19.8,160
19.85,166
19.9,179
19.95,164
20,176
20.05,170
20.1,171
20.15,148
20.2,164
20.25,162
20.3,167
20.35,163
20.4,158
20.45,168
20.5,149
20.55,168
20.6,156
20.65,150
20.7,151
20.75,163
20.8,157
20.85,159
20.9,156
20.95,167
21,178
21.05,177
21.1,171
21.15,141
21.2,161
21.25,167
21.3,175
21.35,169
21.4,165
21.45,170
21.5,156
21.55,172
21.6,161
21.65,165
21.7,155
21.75,174
21.8,169
21.85,174
21.9,168
21.95,172
22,184
22.05,186
22.1,184
22.15,190
22.2,174
22.25,174
22.3,171
22.35,193
22.4,184
22.45,189
22.5,188
22.55,202
22.6,185
22.65,198
22.7,190
22.75,198
22.8,200
22.85,190
22.9,201
22.95,204
23,203
23.05,215
23.1,230
23.15,239
23.2,214
23.25,229
23.3,218
23.35,215
23.4,196
23.45,209
23.5,207
23.55,182
23.6,185
23.65,194
23.7,210
23.75,205
23.8,198
23.85,200
23.9,197
23.95,205
24,200
24.05,201
24.1,210
24.15,202
24.2,208
24.25,206
24.3,209
24.35,207
24.4,222
24.45,200
24.5,193
24.55,191
24.6,212
24.65,194
24.7,196
24.75,192
24.8,195
24.85,191
24.9,218
24.95,226
25,193
25.05,208
25.1,196
25.15,218
25.2,223
25.25,219
25.3,222
25.35,226
25.4,283
25.45,317
25.5,387
25.55,467
25.6,492
25.65,484
25.7,460
25.75,372
25.8,317
25.85,259
25.9,226
25.95,207
26,196
26.05,200
26.1,199
26.15,206
26.2,203
26.25,202
26.3,207
26.35,232
26.4,230
26.45,229
26.5,237
26.55,250
26.6,246
26.65,254
26.7,223
26.75,216
26.8,201
26.85,197
26.9,201
26.95,187
27,195
27.05,200
27.1,195
27.15,202
27.2,213
27.25,209
27.3,212
27.35,227
27.4,263
27.45,285
27.5,316
27.55,349
27.6,393
27.65,404
27.7,360
27.75,335
27.8,293
27.85,260
27.9,247
27.95,241
28,228
28.05,226
28.1,222
28.15,250
28.2,235
28.25,257
28.3,269
28.35,273
28.4,294
28.45,308
28.5,301
28.55,274
28.6,275
28.65,256
28.7,232
28.75,210
28.8,197
28.85,178
28.9,194
28.95,190
29,204
