KEV,INTENSITY
0.379350,4.367193
0.386788,4.325419
0.394227,4.2804
0.401665,4.239041
0.409103,4.195374
0.416541,4.152889
0.423980,4.113126
0.431418,4.070722
0.438856,4.032496
0.446294,3.994722
0.453733,3.9528
0.461171,3.915741
0.468609,3.874081
0.476047,3.838067
0.483486,3.802522
0.490924,3.763644
0.498362,3.727337
0.505800,3.69823
0.513239,3.661785
0.520677,3.62813
0.528115,3.593874
0.535553,3.560359
0.542992,3.528315
0.550430,3.496607
0.557868,3.469596
0.565306,3.441881
0.572745,3.411704
0.580183,3.382207
0.587621,3.351093
0.595059,3.325985
0.602497,3.30023
0.609936,3.267615
0.617374,3.24887
0.624812,3.222789
0.632250,3.199281
0.639689,3.176407
0.647127,3.151037
0.654565,3.126978
0.662003,3.10547
0.669442,3.08577
0.676880,3.06243
0.684318,3.040019
0.691756,3.020941
0.699195,3.00467
0.706633,2.981563
0.714071,2.962774
0.721509,2.948107
0.728948,2.92763
0.736386,2.908363
0.743824,2.894604
0.751262,2.879315
0.758701,2.863137
0.766139,2.8457
0.773577,2.827889
0.781015,2.81557
0.788453,2.798563
0.795892,2.793041
0.803330,2.776585
0.810768,2.750933
0.818206,2.739793
0.825645,2.720781
0.833083,2.709933
0.840521,2.697015
0.847959,2.680104
0.855398,2.674822
0.862836,2.66337
0.870274,2.643985
0.877712,2.635048
0.885151,2.611574
0.892589,2.613274
0.900027,2.601067
0.907465,2.588644
0.914904,2.575315
0.922342,2.565748
0.929780,2.548889
0.937218,2.529167
0.944657,2.511011
0.952095,2.483148
0.959533,2.495915
0.966971,2.497796
0.974409,2.492937
0.981848,2.493744
0.989286,2.47563
0.996724,2.465341
1.004162,2.451463
1.011601,2.441281
1.019039,2.433937
1.026477,2.435015
1.033915,2.435537
1.041354,2.430937
1.048792,2.420837
1.056230,2.423067
1.063668,2.410189
1.071107,2.401633
1.078545,2.406167
1.085983,2.389463
1.093421,2.383967
1.100860,2.381041
1.108298,2.368526
1.115736,2.363022
1.123174,2.360174
1.130613,2.347637
1.138051,2.337385
1.145489,2.340144
1.152927,2.337878
1.160365,2.325015
1.167804,2.321526
1.175242,2.3189
1.182680,2.315833
1.190118,2.305956
1.197557,2.296507
1.204995,2.282844
1.212433,2.277344
1.219871,2.273093
1.227310,2.277907
1.234748,2.264078
1.242186,2.255152
1.249624,2.254304
1.257063,2.242633
1.264501,2.228248
1.271939,2.231881
1.279377,2.228652
1.286816,2.227733
1.294254,2.241615
1.301692,2.216381
1.309130,2.221463
1.316569,2.214919
1.324007,2.199859
1.331445,2.214219
1.338883,2.21843
1.346321,2.206985
1.353760,2.201567
1.361198,2.199796
1.368636,2.187507
1.376074,2.187052
1.383513,2.185163
1.390951,2.188893
1.398389,2.203974
1.405827,2.186274
1.413266,2.183707
1.420704,2.16267
1.428142,2.1863
1.435580,2.176752
1.443019,2.167781
1.450457,2.1759
1.457895,2.159752
1.465333,2.159863
1.472772,2.146737
1.480210,2.140019
1.487648,2.143133
1.495086,2.139493
1.502525,2.127678
1.509963,2.122085
1.517401,2.120885
1.524839,2.128885
1.532277,2.118267
1.539716,2.109081
1.547154,2.114407
1.554592,2.096415
1.562030,2.08397
1.569469,2.080778
1.576907,2.082019
