KEV,INTENSITY
0.38853,4.6641
0.39615,4.6293
0.40377,4.5941
0.41139,4.5601
0.419,4.5218
0.42662,4.4878
0.43424,4.4531
0.44186,4.4201
0.44948,4.3824
0.4571,4.3447
0.46471,4.3138
0.47233,4.2753
0.47995,4.2436
0.48757,4.2057
0.49519,4.174
0.50281,4.1401
0.51042,4.0984
0.51804,4.0645
0.52566,4.0304
0.53328,3.9977
0.5409,3.9684
0.54851,3.9354
0.55613,3.898
0.56375,3.875
0.57137,3.8406
0.57899,3.8124
0.58661,3.7792
0.59422,3.7515
0.60184,3.7212
0.60946,3.6881
0.61708,3.671
0.6247,3.6202
0.63232,3.6069
0.63993,3.5833
0.64755,3.5363
0.65517,3.519
0.66279,3.4936
0.67041,3.472
0.67803,3.4468
0.68564,3.4136
0.69326,3.3964
0.70088,3.3773
0.7085,3.3473
0.71612,3.3253
0.72373,3.3193
0.73135,3.2828
0.73897,3.2584
0.74659,3.2348
0.75421,3.2135
0.76183,3.2071
0.76944,3.1898
0.77706,3.1644
0.78468,3.1605
0.7923,3.1556
0.79992,3.1319
0.80754,3.1011
0.81515,3.1113
0.82277,3.0774
0.83039,3.0913
0.83801,3.0788
0.84563,3.0546
0.85325,3.0358
0.86086,3.0512
0.86848,3.0212
0.8761,3.0183
0.88372,2.9859
0.89134,2.9956
0.89895,2.9703
0.90657,2.946
0.91419,2.9274
0.92181,2.9263
0.92943,2.9365
0.93705,2.8932
0.94466,2.8943
0.95228,2.8859
0.9599,2.8615
0.96752,2.8745
0.97514,2.871
0.98276,2.8363
0.99037,2.8351
0.99799,2.7973
1.00561,2.8102
1.01323,2.8096
1.02085,2.7924
1.02847,2.7308
1.03608,2.7451
1.0437,2.7226
1.05132,2.7101
1.05894,2.7084
1.06656,2.6937
1.07417,2.7443
1.08179,2.699
1.08941,2.6803
1.09703,2.6637
1.10465,2.6415
1.11227,2.6405
1.11988,2.6542
1.1275,2.6425
1.13512,2.6107
1.14274,2.5465
1.15036,2.6222
1.15798,2.5658
1.16559,2.5502
1.17321,2.5514
1.18083,2.5832
1.18845,2.5729
1.19607,2.5551
1.20369,2.5263
1.2113,2.525
1.21892,2.5132
1.22654,2.5478
1.23416,2.5211
1.24178,2.4928
1.24939,2.4886
1.25701,2.4829
1.26463,2.49
1.27225,2.4728
1.27987,2.4955
1.28749,2.4683
1.2951,2.4393
1.30272,2.433
1.31034,2.4698
1.31796,2.433
1.32558,2.4183
1.3332,2.4014
1.34081,2.444
1.34843,2.4183
1.35605,2.3729
1.36367,2.4166
1.37129,2.3856
1.37891,2.3874
1.38652,2.3483
1.39414,2.3284
1.40176,2.3692
1.40938,2.3385
1.417,2.3541
1.42461,2.3096
1.43223,2.3304
1.43985,2.3385
1.44747,2.3263
1.45509,2.29
1.46271,2.2304
1.47032,2.2625
1.47794,2.29
1.48556,2.3304
1.49318,2.2788
1.5008,2.2788
1.50842,2.3139
1.51603,2.2648
1.52365,2.3075
1.53127,2.29
1.53889,2.3032
1.54651,2.2405
1.55413,2.2878
1.56174,2.2553
1.56936,2.2742
1.57698,2.2648
1.5846,2.2553
1.59222,2.2625
1.59983,2.2765
1.60745,2.2304
1.61507,2.2455
1.62269,2.281
1.63031,2.3096
1.63793,2.2504
1.64554,2.2405
1.65316,2.281
1.66078,2.2279
1.6684,2.2695
1.67602,2.2355
1.68364,2.2577
1.69125,2.2148
1.69887,2.2148
1.70649,2.2577
1.71411,2.179
1.72173,2.143
1.72935,2.2122
1.73696,2.1673
1.74458,2.1761
1.7522,2.1523
1.75982,2.1818
1.76744,2.2122
1.77506,2.1614
1.78267,2.0899
1.79029,2.1335
1.79791,2.1271
1.80553,2.0374
1.81315,2.0453
1.82076,2.1303
1.82838,2.0682
1.836,2
1.84362,2.0492
1.85124,1.9191
1.85886,2.0253
1.86647,2
1.87409,1.9912
1.88171,2.0374
1.88933,1.9031
1.89695,1.9912
1.90457,1.9868
1.91218,1.8921
1.9198,1.9345
1.92742,1.8865
1.93504,1.9395
1.94266,1.8865
1.95028,1.9138
1.95789,1.9138
1.96551,1.9031
1.97313,1.9494
1.98075,1.8865
1.98837,1.9345
1.99598,1.8388
2.0036,1.9191
2.01122,1.9912
2.01884,1.9395
2.02646,1.9191
2.03408,1.8976
2.04169,1.8573
2.04931,1.9191
2.05693,1.8633
2.06455,1.8976
2.07217,1.8388
2.07979,1.7709
2.0874,1.9138
2.09502,1.9243
2.10264,1.8751
2.11026,1.8808
2.11788,1.8976
2.1255,1.7634
2.13311,1.8451
2.14073,1.8808
2.14835,1.959
2.15597,1.8388
2.16359,1.8808
2.1712,1.8195
2.17882,1.8808
2.18644,1.8808
2.19406,1.8325
2.20168,1.7853
2.2093,1.8633
2.21691,1.8865
2.22453,1.9445
2.23215,1.9731
2.23977,1.9345
2.24739,1.8129
2.25501,1.9395
2.26262,1.9191
2.27024,1.8573
2.27786,1.8976
2.28548,1.9031
2.2931,1.9345
2.30072,1.8692
2.30833,1.7924
2.31595,1.8573
2.32357,1.9823
2.33119,1.8261
2.33881,1.8261
2.34642,1.8129
2.35404,1.8976
2.36166,1.9085
2.36928,1.8976
2.3769,1.7243
2.38452,1.8129
2.39213,1.7993
2.39975,1.7993
2.40737,1.8129
2.41499,1.9191
2.42261,1.9191
2.43023,1.8865
2.43784,1.8325
2.44546,1.8388
2.45308,1.7559
2.4607,1.8573
2.46832,1.8325
2.47594,1.8325
2.48355,1.7993
2.49117,1.7324
2.49879,1.7853
2.50641,1.7924
2.51403,1.7324
2.52164,1.6812
2.52926,1.7924
2.53688,1.8129
2.5445,1.7324
2.55212,1.7993
2.55974,1.8513
2.56735,1.7482
2.57497,1.7243
2.58259,1.7404
2.59021,1.7634
2.59783,1.7634
2.60545,1.7782
2.61306,1.7404
2.62068,1.6902
2.6283,1.7482
2.63592,1.7243
2.64354,1.7482
2.65116,1.6721
2.65877,1.6021
2.66639,1.6902
2.67401,1.6902
2.68163,1.6335
2.68925,1.6812
2.69686,1.5315
2.70448,1.5315
2.7121,1.7404
2.71972,1.6435
2.72734,1.6435
2.73496,1.6532
2.74257,1.7634
2.75019,1.4771
2.75781,1.7482
2.76543,1.6435
2.77305,1.7404
2.78067,1.6628
2.78828,1.7243
2.7959,1.6532
2.80352,1.5798
2.81114,1.6628
2.81876,1.8129
2.82638,1.6021
2.83399,1.6532
2.84161,1.6532
2.84923,1.6128
2.85685,1.6435
2.86447,1.6721
2.87208,1.6021
2.8797,1.6721
2.88732,1.5911
2.89494,1.7076
2.90256,1.5315
2.91018,1.7076
2.91779,1.6628
2.92541,1.5315
2.93303,1.5911
2.94065,1.6021
2.94827,1.6435
2.95589,1.6721
2.9635,1.5682
2.97112,1.5315
2.97874,1.5911
2.98636,1.5798
2.99398,1.6435
3.0016,1.5563
3.00921,1.6335
3.01683,1.6021
3.02445,1.5051
3.03207,1.5441
3.03969,1.4624
3.0473,1.5563
3.05492,1.6721
3.06254,1.6335
3.07016,1.5563
3.07778,1.6812
3.0854,1.6532
3.09301,1.5441
3.10063,1.716
3.10825,1.4624
3.11587,1.5682
3.12349,1.5798
3.13111,1.6812
3.13872,1.6628
3.14634,1.6021
3.15396,1.716
3.16158,1.716
3.1692,1.6232
3.17682,1.7324
3.18443,1.6628
3.19205,1.699
3.19967,1.6128
3.20729,1.7924
3.21491,1.7853
3.22252,1.8062
3.23014,1.7782
3.23776,1.8692
3.24538,1.8808
3.253,1.6532
3.26062,1.8808
3.26823,1.8195
3.27585,1.8388
3.28347,1.7782
3.29109,1.8976
3.29871,1.8751
3.30633,1.8808
3.31394,1.8808
3.32156,1.8573
3.32918,1.8808
3.3368,1.9823
3.34442,1.8451
3.35204,1.9395
3.35965,1.9445
3.36727,1.9085
3.37489,1.9395
3.38251,1.9294
3.39013,2.0086
3.39774,2.0212
3.40536,2.0212
3.41298,2.0682
3.4206,2.0607
3.42822,2.0253
3.43584,2.2014
3.44345,2.1614
3.45107,2.1335
3.45869,2.1703
3.46631,2.2227
3.47393,2.2718
3.48155,2.2742
3.48916,2.2672
3.49678,2.3365
3.5044,2.3385
3.51202,2.3655
3.51964,2.4099
3.52726,2.433
3.53487,2.4265
3.54249,2.4624
3.55011,2.4771
3.55773,2.4624
3.56535,2.5185
3.57296,2.4698
3.58058,2.5527
3.5882,2.5276
3.59582,2.5717
3.60344,2.5527
3.61106,2.574
3.61867,2.574
3.62629,2.5391
3.63391,2.6031
3.64153,2.5955
3.64915,2.5843
3.65677,2.5955
3.66438,2.5441
3.672,2.617
3.67962,2.5866
3.68724,2.6274
3.69486,2.5877
3.70248,2.6222
3.71009,2.601
3.71771,2.5966
3.72533,2.5682
3.73295,2.5832
3.74057,2.6075
3.74818,2.5966
3.7558,2.5539
3.76342,2.534
3.77104,2.5172
3.77866,2.5391
3.78628,2.4843
3.79389,2.49
3.80151,2.5302
3.80913,2.4942
3.81675,2.4472
3.82437,2.4757
3.83199,2.4314
3.8396,2.415
