2-THETA,INTENSITY
2,1156
2.05,1570
2.1,1369
2.15,1357
2.2,1711
2.25,999
2.3,1442
2.35,1128
2.4,1179
2.45,1102
2.5,1082
2.55,1011
2.6,1019
2.65,1026
2.7,995
2.75,777
2.8,846
2.85,819
2.9,598
2.95,777
3,640
3.05,750
3.1,641
3.15,672
3.2,689
3.25,586
3.3,690
3.35,547
3.4,490
3.45,542
3.5,433
3.55,476
3.6,458
3.65,497
3.7,430
3.75,399
3.8,412
3.85,355
3.9,398
3.95,417
4,338
4.05,385
4.1,300
4.15,303
4.2,306
4.25,305
4.3,288
4.35,279
4.4,317
4.45,331
4.5,291
4.55,281
4.6,282
4.65,268
4.7,250
4.75,245
4.8,257
4.85,233
4.9,233
4.95,261
5,223
5.05,215
5.1,222
5.15,233
5.2,228
5.25,198
5.3,215
5.35,203
5.4,205
5.45,201
5.5,213
5.55,202
5.6,188
5.65,165
5.7,202
5.75,195
5.8,191
5.85,178
5.9,219
5.95,195
6,210
6.05,201
6.1,213
6.15,200
6.2,228
6.25,230
6.3,231
6.35,243
6.4,227
6.45,221
6.5,251
6.55,260
6.6,245
6.65,217
6.7,207
6.75,194
6.8,221
6.85,186
6.9,191
6.95,155
7,138
7.05,149
7.1,150
7.15,148
7.2,137
7.25,164
7.3,153
7.35,137
7.4,140
7.45,117
7.5,132
7.55,147
7.6,132
7.65,147
7.7,117
7.75,132
7.8,126
7.85,119
7.9,101
7.95,145
8,134
8.05,124
8.1,127
8.15,111
8.2,129
8.25,114
8.3,120
8.35,139
8.4,116
8.45,113
8.5,129
8.55,116
8.6,111
8.65,120
8.7,122
8.75,107
8.8,119
8.85,120
8.9,134
8.95,124
9,113
9.05,117
9.1,100
9.15,116
9.2,117
9.25,122
9.3,137
9.35,100
9.4,98
9.45,109
9.5,107
9.55,105
9.6,110
9.65,109
9.7,109
9.75,106
9.8,90
9.85,132
9.9,86
9.95,100
10,114
10.05,103
10.1,108
10.15,104
10.2,102
10.25,107
10.3,102
10.35,106
10.4,113
10.45,100
10.5,96
10.55,107
10.6,103
10.65,103
10.7,96
10.75,94
10.8,113
10.85,112
10.9,105
10.95,113
11,110
11.05,105
11.1,116
11.15,100
11.2,108
11.25,95
11.3,96
11.35,97
11.4,100
11.45,117
11.5,114
11.55,95
11.6,115
11.65,115
11.7,103
11.75,109
11.8,113
11.85,92
11.9,102
11.95,92
12,109
12.05,106
12.1,96
12.15,99
12.2,100
12.25,108
12.3,110
12.35,112
12.4,106
12.45,107
12.5,85
12.55,97
12.6,112
12.65,102
12.7,100
12.75,111
12.8,118
12.85,108
12.9,104
12.95,107
13,114
13.05,120
13.1,105
13.15,119
13.2,116
13.25,126
13.3,142
13.35,181
13.4,292
13.45,405
13.5,522
13.55,588
13.6,488
13.65,446
13.7,324
13.75,196
13.8,156
13.85,133
13.9,132
13.95,102
14,97
14.05,112
14.1,93
14.15,99
14.2,108
14.25,109
14.3,97
14.35,95
14.4,100
14.45,111
14.5,104
14.55,103
14.6,104
14.65,108
14.7,103
14.75,93
14.8,98
14.85,107
14.9,106
14.95,112
15,103
15.05,88
15.1,97
15.15,96
15.2,97
15.25,116
15.3,109
15.35,106
15.4,99
15.45,109
15.5,104
15.55,114
15.6,110
15.65,106
15.7,93
15.75,114
15.8,101
15.85,141
15.9,132
15.95,148
16,158
16.05,128
16.1,139
16.15,133
16.2,143
16.25,133
16.3,123
16.35,134
16.4,114
16.45,124
16.5,119
16.55,122
16.6,106
16.65,144
16.7,132
16.75,132
16.8,127
16.85,141
16.9,159
16.95,152
17,157
17.05,177
17.1,177
17.15,164
17.2,173
17.25,158
17.3,149
17.35,152
17.4,135
17.45,143
17.5,128
17.55,127
17.6,134
17.65,132
17.7,138
17.75,126
17.8,121
17.85,123
17.9,111
17.95,118
18,126
18.05,110
18.1,113
18.15,107
18.2,119
18.25,116
18.3,115
18.35,112
18.4,107
18.45,112
18.5,102
18.55,118
18.6,109
18.65,111
18.7,110
18.75,123
18.8,121
18.85,115
18.9,113
18.95,97
19,104
19.05,103
19.1,98
19.15,118
19.2,104
19.25,104
19.3,112
19.35,108
19.4,122
19.45,108
19.5,117
19.55,113
19.6,114
19.65,115
19.7,124
19.75,110
19.8,124
19.85,102
19.9,118
19.95,126
20,118
20.05,132
20.1,118
20.15,116
20.2,120
20.25,115
20.3,115
20.35,112
20.4,124
20.45,128
20.5,126
20.55,131
20.6,120
20.65,128
20.7,121
20.75,129
20.8,127
20.85,126
20.9,125
20.95,128
21,123
21.05,131
21.1,138
21.15,126
21.2,133
21.25,129
21.3,118
21.35,141
21.4,138
21.45,141
21.5,127
21.55,134
21.6,136
21.65,142
21.7,135
21.75,138
21.8,156
21.85,159
21.9,162
21.95,163
22,151
22.05,157
22.1,143
22.15,146
22.2,144
22.25,142
22.3,145
22.35,149
22.4,153
22.45,153
22.5,142
22.55,136
22.6,144
22.65,132
22.7,150
22.75,140
22.8,140
22.85,132
22.9,141
22.95,152
23,150
23.05,146
23.1,162
23.15,158
23.2,149
23.25,154
23.3,153
23.35,155
23.4,164
23.45,175
23.5,154
23.55,152
23.6,153
23.65,164
23.7,161
23.75,187
23.8,181
23.85,197
23.9,229
23.95,287
24,403
24.05,523
24.1,658
24.15,751
24.2,765
24.25,716
24.3,600
24.35,441
24.4,349
24.45,261
24.5,240
24.55,195
24.6,185
24.65,168
24.7,168
24.75,175
24.8,174
24.85,176
24.9,161
24.95,169
25,168
25.05,156
25.1,153
25.15,171
25.2,165
25.25,171
25.3,177
25.35,187
25.4,215
25.45,234
25.5,288
25.55,329
25.6,342
25.65,342
25.7,332
25.75,272
25.8,261
25.85,212
25.9,187
25.95,159
26,169
26.05,152
26.1,164
26.15,162
26.2,155
26.25,157
26.3,155
26.35,156
26.4,149
26.45,166
26.5,173
26.55,176
26.6,189
26.65,162
26.7,188
26.75,173
26.8,172
26.85,159
26.9,171
26.95,168
27,179
27.05,171
27.1,187
27.15,195
27.2,221
27.25,231
27.3,247
27.35,244
27.4,250
27.45,260
27.5,265
27.55,291
27.6,311
27.65,304
27.7,287
27.75,255
27.8,240
27.85,219
27.9,194
27.95,184
28,199
28.05,192
28.1,183
28.15,194
28.2,197
28.25,211
28.3,212
28.35,243
28.4,236
28.45,232
28.5,240
28.55,232
28.6,207
28.65,207
28.7,189
28.75,187
28.8,185
28.85,157
28.9,158
28.95,161
29,167
29.05,164
29.1,161
29.15,174
29.2,163
29.25,168
29.3,173
29.35,178
29.4,168
29.45,173
29.5,178
29.55,187
29.6,183
29.65,197
29.7,186
29.75,208
29.8,198
29.85,205
29.9,200
29.95,192
30,190
30.05,173
30.1,169
30.15,175
30.2,163
30.25,176
30.3,161
30.35,157
30.4,163
30.45,164
30.5,161
30.55,162
30.6,167
30.65,172
30.7,181
30.75,194
30.8,207
30.85,212
30.9,231
30.95,226
31,221
31.05,213
31.1,220
31.15,215
31.2,217
31.25,207
31.3,207
31.35,211
31.4,177
31.45,183
31.5,170
31.55,155
31.6,164
31.65,166
31.7,156
31.75,163
31.8,167
31.85,165
31.9,170
31.95,183
32,217
32.05,227
32.1,266
32.15,304
32.2,342
32.25,413
32.3,473
32.35,526
32.4,539
32.45,577
32.5,536
32.55,478
32.6,501
32.65,484
32.7,457
32.75,437
32.8,368
32.85,328
32.9,289
32.95,261
33,246
33.05,242
33.1,255
33.15,237
33.2,225
33.25,208
33.3,205
33.35,185
33.4,174
33.45,163
33.5,168
33.55,176
33.6,171
33.65,175
33.7,208
33.75,224
33.8,266
33.85,340
33.9,385
33.95,467
34,488
34.05,502
34.1,466
34.15,393
34.2,325
34.25,277
34.3,246
34.35,232
34.4,231
34.45,231
34.5,270
34.55,274
34.6,280
34.65,261
34.7,279
34.75,250
34.8,233
34.85,213
34.9,205
34.95,191
35,192
35.05,194
35.1,195
35.15,182
35.2,181
35.25,216
35.3,211
35.35,210
35.4,231
35.45,223
35.5,210
35.55,214
35.6,204
35.65,191
35.7,202
35.75,199
35.8,200
35.85,218
35.9,198
35.95,204
36,218
36.05,227
36.1,244
36.15,262
36.2,320
36.25,326
36.3,378
36.35,403
36.4,359
36.45,361
36.5,330
36.55,289
36.6,234
36.65,244
36.7,218
36.75,223
36.8,201
36.85,196
36.9,182
36.95,179
37,183
37.05,184
37.1,186
37.15,172
37.2,191
37.25,194
37.3,192
37.35,200
37.4,207
37.45,219
37.5,198
37.55,216
37.6,206
37.65,188
37.7,171
37.75,161
37.8,155
37.85,161
37.9,145
37.95,152
38,148
38.05,172
38.1,153
38.15,161
38.2,161
38.25,175
38.3,170
38.35,185
38.4,204
38.45,209
38.5,207
38.55,208
38.6,239
38.65,239
38.7,227
38.75,250
38.8,260
38.85,304
38.9,289
38.95,335
39,355
39.05,355
39.1,338
39.15,317
39.2,273
39.25,259
39.3,195
39.35,196
39.4,190
39.45,185
39.5,170
39.55,161
39.6,145
39.65,137
39.7,149
39.75,143
39.8,135
39.85,123
39.9,141
39.95,128
40,128
40.05,136
40.1,131
40.15,132
40.2,142
40.25,144
40.3,155
40.35,161
40.4,155
40.45,168
40.5,168
40.55,155
40.6,163
40.65,168
40.7,164
40.75,165
40.8,160
40.85,165
40.9,182
40.95,157
41,167
41.05,167
41.1,171
41.15,180
41.2,173
41.25,185
41.3,196
41.35,206
41.4,239
41.45,241
41.5,266
41.55,291
41.6,284
41.65,291
41.7,277
41.75,291
41.8,279
41.85,285
41.9,248
41.95,238
42,244
42.05,233
42.1,239
42.15,222
42.2,217
42.25,196
42.3,188
42.35,206
42.4,180
42.45,185
42.5,166
42.55,179
42.6,163
42.65,154
42.7,166
42.75,172
42.8,179
42.85,186
42.9,171
42.95,173
43,158
43.05,151
43.1,147
43.15,141
43.2,132
43.25,141
43.3,146
43.35,121
43.4,148
43.45,138
43.5,141
43.55,144
43.6,142
43.65,154
43.7,146
43.75,154
43.8,152
43.85,153
43.9,154
43.95,125
44,130
44.05,140
44.1,138
44.15,135
44.2,134
44.25,150
44.3,129
44.35,131
44.4,124
44.45,127
44.5,118
44.55,115
44.6,121
44.65,129
44.7,123
44.75,144
44.8,129
44.85,131
44.9,134
44.95,121
45,129
45.05,119
45.1,140
45.15,126
45.2,137
45.25,149
45.3,131
45.35,128
45.4,121
45.45,137
45.5,134
45.55,134
45.6,141
45.65,147
45.7,136
45.75,163
45.8,157
45.85,149
45.9,142
45.95,152
46,146
46.05,149
46.1,150
46.15,156
46.2,152
46.25,134
46.3,144
46.35,121
46.4,132
46.45,130
46.5,140
46.55,131
46.6,131
46.65,137
46.7,139
46.75,125
46.8,128
46.85,140
46.9,127
46.95,129
47,120
47.05,117
47.1,126
47.15,140
47.2,133
47.25,141
47.3,147
47.35,157
47.4,159
47.45,175
47.5,166
47.55,218
47.6,195
47.65,223
47.7,216
47.75,205
47.8,199
47.85,209
47.9,195
47.95,196
48,185
48.05,169
48.1,179
48.15,163
48.2,168
48.25,151
48.3,145
48.35,150
48.4,141
48.45,145
48.5,154
48.55,142
48.6,129
48.65,124
48.7,145
48.75,139
48.8,134
48.85,143
48.9,141
48.95,144
49,138
49.05,137
49.1,135
49.15,128
49.2,148
49.25,139
49.3,137
49.35,164
49.4,165
49.45,181
49.5,200
49.55,182
49.6,178
49.65,181
49.7,176
49.75,157
49.8,167
49.85,162
49.9,170
49.95,153
50,164
50.05,170
50.1,166
50.15,177
50.2,146
50.25,154
50.3,162
50.35,159
50.4,154
50.45,172
50.5,158
50.55,167
50.6,159
50.65,166
50.7,181
50.75,182
50.8,199
50.85,218
50.9,245
50.95,250
51,213
51.05,236
51.1,227
51.15,229
51.2,213
51.25,209
51.3,213
51.35,204
51.4,174
51.45,169
51.5,178
51.55,159
51.6,168
51.65,148
51.7,162
51.75,169
51.8,169
51.85,153
51.9,167
51.95,166
52,169
