KEV,INTENSITY
0.39638,4.80235
0.40415,4.76958
0.41192,4.73645
0.4197,4.69898
0.42747,4.67438
0.43524,4.63763
0.44301,4.60603
0.45079,4.56963
0.45856,4.53308
0.46633,4.50043
0.4741,4.4675
0.48187,4.4263
0.48965,4.40148
0.49742,4.3683
0.50519,4.33873
0.51296,4.30345
0.52074,4.26625
0.52851,4.23758
0.53628,4.20143
0.54405,4.16688
0.55182,4.14373
0.5596,4.10883
0.56737,4.0789
0.57514,4.04458
0.58291,4.02248
0.59068,3.99113
0.59846,3.95555
0.60623,3.9253
0.614,3.9094
0.62177,3.87588
0.62955,3.8438
0.63732,3.81268
0.64509,3.7799
0.65286,3.75678
0.66063,3.7291
0.66841,3.70155
0.67618,3.69058
0.68395,3.6559
0.69172,3.63938
0.69949,3.60008
0.70727,3.57955
0.71504,3.55193
0.72281,3.54763
0.73058,3.5016
0.73836,3.49053
0.74613,3.46738
0.7539,3.44328
0.76167,3.42725
0.76944,3.35728
0.77722,3.3423
0.78499,3.3597
0.79276,3.3662
0.80053,3.35288
0.80831,3.34155
0.81608,3.30985
0.82385,3.30298
0.83162,3.2774
0.83939,3.25965
0.84717,3.23698
0.85494,3.2153
0.86271,3.21975
0.87048,3.18498
0.87825,3.17405
0.88603,3.16718
0.8938,3.14788
0.90157,3.12853
0.90934,3.10795
0.91712,3.1001
0.92489,3.10063
0.93266,3.07925
0.94043,3.05713
0.9482,3.0493
0.95598,3.02775
0.96375,3.01293
0.97152,2.99918
0.97929,2.9849
0.98707,2.96953
0.99484,2.97085
1.00261,2.95098
1.01038,2.94228
1.01815,2.92453
1.02593,2.90885
1.0337,2.91228
1.04147,2.89948
1.04924,2.8941
1.05701,2.8755
1.06479,2.85005
1.07256,2.85738
1.08033,2.84323
1.0881,2.8428
1.09588,2.84343
1.10365,2.8233
1.11142,2.79573
1.11919,2.79683
1.12696,2.78935
1.13474,2.79543
1.14251,2.78755
1.15028,2.78475
1.15805,2.7775
1.16582,2.76205
1.1736,2.74488
1.18137,2.74813
1.18914,2.75393
1.19691,2.7451
1.20469,2.72385
1.21246,2.72815
1.22023,2.72898
1.228,2.71728
1.23577,2.73443
1.24355,2.71198
1.25132,2.72243
1.25909,2.71008
1.26686,2.6956
1.27464,2.69673
1.28241,2.6881
1.29018,2.70495
1.29795,2.69043
1.30572,2.68975
1.3135,2.69305
1.32127,2.66303
1.32904,2.68605
1.33681,2.67113
1.34458,2.65513
1.35236,2.65978
1.36013,2.6729
1.3679,2.65193
1.37567,2.66183
1.38345,2.63233
1.39122,2.6329
1.39899,2.63428
1.40676,2.61785
1.41453,2.6066
1.42231,2.6028
1.43008,2.6089
1.43785,2.61615
1.44562,2.59513
1.4534,2.5803
1.46117,2.57578
1.46894,2.58905
1.47671,2.55705
1.48448,2.5723
1.49226,2.57443
1.50003,2.55978
1.5078,2.53958
1.51557,2.56285
1.52334,2.53855
1.53112,2.52935
1.53889,2.50935
1.54666,2.5325
1.55443,2.52328
1.56221,2.52283
1.56998,2.53493
1.57775,2.5198
1.58552,2.54675
1.59329,2.50368
1.60107,2.50245
1.60884,2.53435
1.61661,2.50788
1.62438,2.49755
1.63215,2.50648
1.63993,2.49465
1.6477,2.48378
1.65547,2.48445
1.66324,2.466
1.67102,2.47453
1.67879,2.47263
1.68656,2.46698
1.69433,2.43545
1.7021,2.45498
1.70988,2.40463
1.71765,2.4105
1.72542,2.40335
1.73319,2.38563
1.74097,2.42023
1.74874,2.43183
1.75651,2.4478
1.76428,2.45203
1.77205,2.40783
1.77983,2.39145
1.7876,2.418
1.79537,2.40888
1.80314,2.39043
1.81091,2.38943
1.81869,2.3822
1.82646,2.35835
1.83423,2.35813
1.842,2.33563
1.84978,2.29675
1.85755,2.3133
1.86532,2.26488
1.87309,2.31185
1.88086,2.28798
1.88864,2.274
1.89641,2.25078
1.90418,2.2516
1.91195,2.25608
1.91973,2.2197
1.9275,2.2279
1.93527,2.22963
1.94304,2.22515
1.95081,2.20975
1.95859,2.20238
1.96636,2.2208
1.97413,2.17378
1.9819,2.17488
1.98967,2.16873
1.99745,2.19748
2.00522,2.1682
2.01299,2.16708
2.02076,2.14715
2.02854,2.12488
2.03631,2.12358
2.04408,2.14308
2.05185,2.14265
2.05962,2.14268
2.0674,2.06803
2.07517,2.14718
2.08294,2.12103
2.09071,2.10443
2.09848,2.13555
2.10626,2.13648
2.11403,2.09068
2.1218,2.11625
2.12957,2.13833
2.13735,2.11623
2.14512,2.10698
2.15289,2.10703
2.16066,2.10883
2.16843,2.132
2.17621,2.1023
2.18398,2.12813
2.19175,2.09108
2.19952,2.1239
2.2073,2.14188
2.21507,2.1476
2.22284,2.11468
2.23061,2.12665
2.23838,2.15073
2.24616,2.164
2.25393,2.14823
2.2617,2.12073
2.26947,2.13698
2.27724,2.1327
2.28502,2.14068
2.29279,2.13933
2.30056,2.12375
2.30833,2.1158
2.31611,2.09995
2.32388,2.08095
2.33165,2.12293
2.33942,2.0974
2.34719,2.13145
2.35497,2.10165
2.36274,2.06318
2.37051,2.13868
2.37828,2.09638
2.38605,2.08325
2.39383,2.0924
2.4016,2.07323
2.40937,2.07438
2.41714,2.0521
2.42492,2.0606
2.43269,2.0359
2.44046,2.0453
2.44823,2.03073
2.456,2.02058
2.46378,2.0447
2.47155,1.99395
2.47932,2.02523
2.48709,2.0181
2.49487,2.0355
2.50264,1.95295
2.51041,1.96573
2.51818,1.96923
2.52595,2.00908
2.53373,1.9716
2.5415,2.00143
2.54927,1.95718
2.55704,1.98083
2.56481,1.94453
2.57259,1.90723
2.58036,1.945
2.58813,1.96435
2.5959,1.9054
2.60368,1.9227
2.61145,1.89855
2.61922,1.88893
2.62699,1.9309
2.63476,1.90683
2.64254,1.89675
2.65031,1.89205
2.65808,1.86173
2.66585,1.92238
2.67363,1.87815
2.6814,1.8342
2.68917,1.7933
2.69694,1.87095
2.70471,1.8261
2.71249,1.8188
2.72026,1.80825
2.72803,1.80238
2.7358,1.81398
2.74357,1.77738
2.75135,1.7328
2.75912,1.7482
2.76689,1.7421
2.77466,1.7458
2.78244,1.77303
2.79021,1.84475
2.79798,1.85113
2.80575,1.81848
2.81352,1.7848
2.8213,1.82068
2.82907,1.82238
2.83684,1.7315
2.84461,1.74338
2.85238,1.77293
2.86016,1.76448
2.86793,1.76953
2.8757,1.774
2.88347,1.75243
2.89125,1.73015
2.89902,1.80318
2.90679,1.7151
2.91456,1.72545
2.92233,1.72388
2.93011,1.74278
2.93788,1.7695
2.94565,1.72478
2.95342,1.69558
2.9612,1.76953
2.96897,1.76755
2.97674,1.7389
2.98451,1.8274
2.99228,1.74995
3.00006,1.79003
3.00783,1.74758
3.0156,1.74665
3.02337,1.77928
3.03114,1.77898
3.03892,1.78253
3.04669,1.75455
3.05446,1.78023
3.06223,1.81093
3.07001,1.79843
3.07778,1.8203
3.08555,1.7442
3.09332,1.7999
3.10109,1.83698
3.10887,1.8461
3.11664,1.83715
3.12441,1.8373
3.13218,1.84655
3.13996,1.86048
3.14773,1.83175
3.1555,1.85243
3.16327,1.9242
3.17104,1.8842
3.17882,1.9036
3.18659,1.93893
3.19436,1.9409
3.20213,1.93175
3.2099,1.91523
3.21768,1.91428
3.22545,1.9613
3.23322,1.95955
3.24099,1.95423
3.24877,1.96383
3.25654,1.98055
3.26431,1.95123
3.27208,2.0082
3.27985,2.02573
3.28763,2.04973
3.2954,2.0497
3.30317,2.0448
3.31094,2.05265
3.31871,2.06685
3.32649,2.06385
3.33426,2.07008
3.34203,2.08205
3.3498,2.08768
3.35758,2.10573
3.36535,2.15813
3.37312,2.15118
3.38089,2.17748
3.38866,2.18178
3.39644,2.16503
3.40421,2.19945
3.41198,2.22798
3.41975,2.2343
3.42753,2.25138
3.4353,2.2449
3.44307,2.26678
3.45084,2.28888
3.45861,2.32345
3.46639,2.3085
3.47416,2.36285
3.48193,2.3591
3.4897,2.3766
3.49747,2.3782
3.50525,2.40855
3.51302,2.41565
3.52079,2.42768
3.52856,2.45813
3.53634,2.47598
3.54411,2.46493
3.55188,2.4948
3.55965,2.5133
3.56742,2.515
3.5752,2.53158
3.58297,2.52948
3.59074,2.53978
3.59851,2.56648
3.60629,2.5503
3.61406,2.56228
3.62183,2.54795
3.6296,2.56033
3.63737,2.5632
3.64515,2.58373
3.65292,2.57978
3.66069,2.57663
3.66846,2.57618
3.67623,2.55148
3.68401,2.53398
3.69178,2.51558
3.69955,2.59698
3.70732,2.59863
3.7151,2.6007
3.72287,2.60225
3.73064,2.58915
3.73841,2.59265
3.74618,2.59878
3.75396,2.59785
3.76173,2.58488
3.7695,2.57708
3.77727,2.53753
3.78504,2.58033
3.79282,2.56555
3.80059,2.55455
3.80836,2.56583
3.81613,2.54153
3.82391,2.51803
3.83168,2.52025
3.83945,2.49258
3.84722,2.49138
3.85499,2.45003
3.86277,2.44943
3.87054,2.4604
3.87831,2.44723
3.88608,2.43865
3.89386,2.42733
3.90163,2.40925
3.9094,2.39508
3.91717,2.389
3.92494,2.39098
3.93272,2.3655
3.94049,2.33278
3.94826,2.32483
3.95603,2.31095
3.9638,2.277
3.97158,2.3091
3.97935,2.28543
3.98712,2.2545
3.99489,2.24963
4.00267,2.24428
4.01044,2.22453
4.01821,2.20568
4.02598,2.21573
4.03375,2.20215
4.04153,2.16523
4.0493,2.16638
4.05707,2.13735
4.06484,2.11303
4.07262,2.13055
4.08039,2.0975
4.08816,2.06113
4.09593,2.09238
4.1037,2.06033
4.11148,2.0468
4.11925,2.05595
4.12702,2.04178
4.13479,2.0065
4.14256,2.0203
4.15034,2.03095
4.15811,1.9966
4.16588,1.9919
4.17365,1.96495
4.18143,1.9638
4.1892,1.95998
4.19697,1.95015
4.20474,1.95375
4.21251,1.91538
4.22029,1.94333
4.22806,1.93033
4.23583,1.88335
4.2436,1.92133
4.25137,1.89835
4.25915,1.91698
4.26692,1.95343
4.27469,1.91663
4.28246,1.95658
4.29024,1.89138
4.29801,1.92873
4.30578,1.94325
4.31355,1.92268
4.32132,1.88928
4.3291,1.91405
4.33687,1.90835
4.34464,1.93825
4.35241,1.94325
4.36019,1.956
4.36796,1.98153
4.37573,1.96873
4.3835,2.00695
4.39127,1.9773
4.39905,1.98368
4.40682,2.0025
4.41459,1.96093
4.42236,2.03445
4.43013,2.0036
4.43791,1.99065
4.44568,2.02323
4.45345,1.98033
4.46122,2.02885
4.469,2.02863
4.47677,2.06453
4.48454,2.02443
4.49231,2.00675
4.50008,2.02293
4.50786,2.00463
4.51563,2.07543
4.5234,2.02403
4.53117,2.03515
4.53895,2.05905
4.54672,1.99805
4.55449,2.04213
4.56226,2.00983
4.57003,1.99633
4.57781,2.05195
4.58558,2.0231
4.59335,2.0184
4.60112,1.99148
4.60889,1.98678
4.61667,1.9497
4.62444,1.99693
4.63221,1.94865
4.63998,1.9444
4.64776,1.95138
4.65553,1.91875
4.6633,1.89798
4.67107,1.86763
4.67884,1.91378
4.68662,1.87755
4.69439,1.9214
4.70216,1.93805
4.70993,1.9341
4.7177,1.91485
4.72548,1.888
4.73325,1.91985
4.74102,1.90903
4.74879,1.86853
4.75657,1.8604
4.76434,1.85788
4.77211,1.86475
4.77988,1.92045
4.78765,1.86193
4.79543,1.84235
4.8032,1.82418
4.81097,1.83368
4.81874,1.80728
4.82652,1.7438
4.83429,1.8397
4.84206,1.7949
4.84983,1.76838
4.8576,1.7537
4.86538,1.72045
4.87315,1.79095
4.88092,1.7474
4.88869,1.70575
4.89646,1.7504
4.90424,1.73255
4.91201,1.72008
4.91978,1.7553
4.92755,1.74578
4.93533,1.77323
4.9431,1.76995
4.95087,1.70268
4.95864,1.6774
4.96641,1.673
4.97419,1.71715
4.98196,1.69188
4.98973,1.71328
4.9975,1.6917
5.00527,1.68295
5.01305,1.67965
5.02082,1.6648
5.02859,1.62568
5.03636,1.67223
5.04414,1.59468
5.05191,1.6933
5.05968,1.65418
5.06745,1.64828
5.07522,1.62248
5.083,1.71553
5.09077,1.66178
5.09854,1.57805
5.10631,1.585
5.11409,1.63663
5.12186,1.56388
5.12963,1.6491
5.1374,1.62928
5.14517,1.61698
5.15295,1.6479
5.16072,1.63475
5.16849,1.69748
5.17626,1.55123
5.18403,1.65558
5.19181,1.59685
5.19958,1.62625
5.20735,1.60138
5.21512,1.61683
5.2229,1.62165
5.23067,1.6634
5.23844,1.65293
5.24621,1.59905
5.25398,1.63993
5.26176,1.64918
5.26953,1.63008
5.2773,1.61453
5.28507,1.66343
5.29285,1.72608
5.30062,1.67343
5.30839,1.60003
5.31616,1.6893
5.32393,1.69365
5.33171,1.70103
5.33948,1.71628
5.34725,1.69375
5.35502,1.71215
5.36279,1.62023
5.37057,1.60203
5.37834,1.7454
5.38611,1.66533
5.39388,1.7116
5.40166,1.74148
5.40943,1.7129
5.4172,1.6765
5.42497,1.66128
5.43274,1.66415
5.44052,1.61445
5.44829,1.6059
5.45606,1.68343
5.46383,1.7201
5.4716,1.67888
5.47938,1.66385
5.48715,1.69178
5.49492,1.6457
5.50269,1.63278
5.51047,1.73408
5.51824,1.72323
5.52601,1.6869
5.53378,1.683
5.54155,1.7261
5.54933,1.7079
5.5571,1.66643
5.56487,1.6323
5.57264,1.68043
5.58042,1.7101
5.58819,1.70753
5.59596,1.68915
5.60373,1.7016
5.6115,1.71095
5.61928,1.69245
5.62705,1.70418
5.63482,1.73898
5.64259,1.72798
5.65036,1.6275
5.65814,1.74088
5.66591,1.64668
5.67368,1.72115
5.68145,1.6911
5.68923,1.69513
