2-THETA,INTENSITY,
3,8021,
3.05,8357,
3.1,6882,
3.15,7322,
3.2,6986,
3.25,6507,
3.3,6766,
3.35,5705,
3.4,6365,
3.45,5563,
3.5,5679,
3.55,5964,
3.6,4722,
3.65,5006,
3.7,4709,
3.75,4799,
3.8,5317,
3.85,3946,
3.9,4825,
3.95,4282,
4,4269,
4.05,4618,
4.1,3739,
4.15,4127,
4.2,3829,
4.25,3907,
4.3,3829,
4.35,3506,
4.4,3803,
4.45,3609,
4.5,3545,
4.55,3299,
4.6,3169,
4.65,3234,
4.7,3312,
4.75,3286,
4.8,3338,
4.85,3131,
4.9,3001,
4.95,2988,
5,3066,
5.05,3053,
5.1,2962,
5.15,3001,
5.2,2924,
5.25,2794,
5.3,2755,
5.35,2975,
5.4,2587,
5.45,2859,
5.5,2691,
5.55,2794,
5.6,2639,
5.65,2613,
5.7,2639,
5.75,2768,
5.8,2587,
5.85,2432,
5.9,2510,
5.95,2549,
6,2561,
6.05,2536,
6.1,2587,
6.15,2367,
6.2,2613,
6.25,2329,
6.3,2432,
6.35,2367,
6.4,2212,
6.45,2393,
6.5,2186,
6.55,2290,
6.6,2225,
6.65,2264,
6.7,2432,
6.75,2458,
6.8,2290,
6.85,2264,
6.9,2380,
6.95,2160,
7,2135,
7.05,2277,
7.1,2354,
7.15,2173,
7.2,2173,
7.25,2277,
7.3,2329,
7.35,2135,
7.4,2096,
7.45,2160,
7.5,2251,
7.55,2199,
7.6,2199,
7.65,2251,
7.7,2329,
7.75,2225,
7.8,2044,
7.85,2225,
7.9,2135,
7.95,2173,
8,2109,
8.05,2135,
8.1,2251,
8.15,2290,
8.2,2277,
8.25,2122,
8.3,2160,
8.35,2122,
8.4,2186,
8.45,2186,
8.5,2018,
8.55,2238,
8.6,2212,
8.65,2186,
8.7,2212,
8.75,2173,
8.8,2290,
8.85,2160,
8.9,2070,
8.95,2251,
9,2290,
9.05,2135,
9.1,2225,
9.15,2212,
9.2,2251,
9.25,2070,
9.3,2212,
9.35,2225,
9.4,2173,
9.45,2199,
9.5,2251,
9.55,2186,
9.6,2147,
9.65,2316,
9.7,2290,
9.75,2147,
9.8,2277,
9.85,2458,
9.9,2199,
9.95,2316,
10,2354,
10.05,2225,
10.1,2251,
10.15,2303,
10.2,2290,
10.25,2303,
10.3,2354,
10.35,2303,
10.4,2135,
10.45,2264,
10.5,2096,
10.55,2122,
10.6,2070,
10.65,2031,
10.7,1928,
10.75,1928,
10.8,1798,
10.85,1863,
10.9,1850,
10.95,1708,
11,1734,
11.05,1695,
11.1,1591,
11.15,1539,
11.2,1539,
11.25,1514,
11.3,1604,
11.35,1475,
11.4,1488,
11.45,1410,
11.5,1255,
11.55,1358,
11.6,1294,
11.65,1358,
11.7,1268,
11.75,1281,
11.8,1294,
11.85,1255,
11.9,1177,
11.95,1320,
12,1255,
12.05,1294,
12.1,1190,
12.15,1164,
12.2,1268,
12.25,1177,
12.3,1242,
12.35,1216,
12.4,1203,
