KEV,INTENSITY
0.38704,4.45238
0.39463,4.40465
0.40222,4.35705
0.40981,4.31155
0.4174,4.26055
0.42499,4.21405
0.43258,4.16908
0.44016,4.12243
0.44775,4.07265
0.45534,4.03058
0.46293,3.98305
0.47052,3.94448
0.47811,3.8982
0.4857,3.8564
0.49329,3.81575
0.50088,3.77033
0.50847,3.7285
0.51605,3.69175
0.52364,3.65465
0.53123,3.61538
0.53882,3.58625
0.54641,3.5422
0.554,3.51093
0.56159,3.47625
0.56918,3.4417
0.57677,3.4
0.58436,3.37995
0.59195,3.35708
0.59953,3.3215
0.60712,3.29303
0.61471,3.26583
0.6223,3.2343
0.62989,3.21143
0.63748,3.19418
0.64507,3.17093
0.65266,3.132
0.66025,3.122
0.66784,3.11083
0.67542,3.07573
0.68301,3.06455
0.6906,3.03318
0.69819,3.03368
0.70578,3.00738
0.71337,3.00353
0.72096,2.98208
0.72855,2.94693
0.73614,2.94648
0.74373,2.92818
0.75132,2.91368
0.7589,2.88948
0.76649,2.8894
0.77408,2.86713
0.78167,2.86
0.78926,2.851
0.79685,2.83143
0.80444,2.82993
0.81203,2.81298
0.81962,2.79245
0.82721,2.77428
0.83479,2.76248
0.84238,2.75238
0.84997,2.75378
0.85756,2.7359
0.86515,2.72618
0.87274,2.7033
0.88033,2.7074
0.88792,2.70253
0.89551,2.68818
0.9031,2.67125
0.91068,2.65388
0.91827,2.63563
0.92586,2.63388
0.93345,2.61233
0.94104,2.60385
0.94863,2.5769
0.95622,2.59063
0.96381,2.57213
0.9714,2.5762
0.97899,2.56365
0.98658,2.53985
0.99416,2.5406
1.00175,2.54905
1.00934,2.52958
1.01693,2.4894
1.02452,2.49853
1.03211,2.4765
1.0397,2.4529
1.04729,2.45153
1.05488,2.44015
1.06247,2.4398
1.07005,2.43298
1.07764,2.42785
1.08523,2.40748
1.09282,2.38093
1.10041,2.3968
1.108,2.35943
1.11559,2.34835
1.12318,2.36133
1.13077,2.33003
1.13836,2.33423
1.14595,2.30548
1.15353,2.3009
1.16112,2.27345
1.16871,2.30443
1.1763,2.2883
1.18389,2.2948
1.19148,2.2754
1.19907,2.2779
