2-THETA,INTENSITY
2,6470
2.05,9546
2.1,9572
2.15,9033
2.2,11726
2.25,7816
2.3,10671
2.35,9107
2.4,8374
2.45,10019
2.5,9134
2.55,10081
2.6,7558
2.65,7724
2.7,7834
2.75,7364
2.8,7480
2.85,7251
2.9,7341
2.95,6389
3,6149
3.05,6703
3.1,5752
3.15,5580
3.2,6373
3.25,5088
3.3,5266
3.35,4680
3.4,5041
3.45,4933
3.5,4173
3.55,4435
3.6,4348
3.65,4112
3.7,4196
3.75,3474
3.8,3705
3.85,3602
3.9,3563
3.95,3619
4,3110
4.05,3478
4.1,3030
4.15,3050
4.2,3322
4.25,2694
4.3,2909
4.35,2691
4.4,2621
4.45,2737
4.5,2541
4.55,2598
4.6,2416
4.65,2489
4.7,2486
4.75,2254
4.8,2163
4.85,2125
4.9,2107
4.95,2137
5,2035
5.05,2122
5.1,2064
5.15,2047
5.2,1930
5.25,1988
5.3,1863
5.35,1882
5.4,1716
5.45,1783
5.5,1714
5.55,1720
5.6,1678
5.65,1621
5.7,1579
5.75,1614
5.8,1658
5.85,1597
5.9,1494
5.95,1480
6,1505
6.05,1411
6.1,1474
6.15,1373
6.2,1407
6.25,1417
6.3,1441
6.35,1281
6.4,1292
6.45,1314
6.5,1350
6.55,1319
6.6,1325
6.65,1351
6.7,1236
6.75,1287
6.8,1213
6.85,1310
6.9,1242
6.95,1177
7,1207
7.05,1156
7.1,1177
7.15,1220
7.2,1182
7.25,1286
7.3,1196
7.35,1103
7.4,1237
7.45,1130
7.5,1110
7.55,1127
7.6,1142
7.65,1117
7.7,1099
7.75,1047
7.8,1128
7.85,1127
7.9,1117
7.95,1108
8,1040
8.05,1077
8.1,1084
8.15,1049
8.2,1046
8.25,1089
8.3,1100
8.35,1083
8.4,1074
8.45,1063
8.5,1088
8.55,1010
8.6,1046
8.65,1081
8.7,1131
8.75,1019
8.8,1062
8.85,1124
8.9,1065
8.95,1150
9,1066
9.05,1062
9.1,1126
9.15,1060
9.2,1035
9.25,1057
9.3,1030
9.35,1064
9.4,1046
9.45,1089
9.5,1083
9.55,1058
9.6,1096
9.65,1176
9.7,1153
9.75,1153
9.8,1179
9.85,1177
9.9,1076
9.95,1213
10,1202
10.05,1162
10.1,1232
10.15,1162
10.2,1168
10.25,1209
10.3,1195
10.35,1152
10.4,1168
10.45,1108
10.5,1113
10.55,1062
10.6,1120
10.65,1012
10.7,1034
10.75,999
10.8,958
10.85,935
10.9,929
10.95,922
11,924
11.05,880
11.1,899
11.15,859
11.2,749
11.25,737
11.3,744
11.35,670
11.4,661
11.45,606
11.5,622
11.55,646
11.6,644
11.65,607
11.7,557
11.75,559
11.8,575
11.85,560
11.9,575
11.95,560
12,554
12.05,569
12.1,583
12.15,515
12.2,536
12.25,513
12.3,558
12.35,508
12.4,541
12.45,534
12.5,513
12.55,468
12.6,552
12.65,500
12.7,501
12.75,534
12.8,515
12.85,476
12.9,520
12.95,502
13,527
13.05,510
13.1,511
13.15,502
13.2,521
13.25,506
13.3,462
13.35,530
13.4,513
13.45,507
13.5,518
13.55,496
13.6,528
13.65,511
13.7,515
13.75,480
13.8,506
13.85,498
13.9,486
13.95,481
14,522
14.05,496
14.1,503
14.15,531
14.2,525
14.25,464
14.3,483
14.35,483
14.4,481
14.45,529
14.5,513
14.55,508
14.6,510
14.65,527
14.7,488
14.75,506
14.8,499
14.85,472
14.9,502
14.95,477
15,506
15.05,476
15.1,498
15.15,518
15.2,473
15.25,462
15.3,525
15.35,498
15.4,502
15.45,474
15.5,485
15.55,521
15.6,526
15.65,480
15.7,493
15.75,500
15.8,523
15.85,555
15.9,543
15.95,600
16,625
16.05,569
16.1,563
16.15,557
16.2,579
16.25,554
16.3,547
16.35,520
16.4,555
16.45,539
16.5,520
16.55,540
16.6,516
16.65,542
16.7,529
16.75,597
16.8,553
16.85,612
16.9,748
16.95,926
17,1080
17.05,1216
17.1,1205
17.15,1211
17.2,1094
17.25,956
17.3,795
17.35,694
17.4,621
17.45,611
17.5,622
17.55,613
17.6,600
17.65,622
17.7,554
17.75,582
17.8,594
17.85,542
17.9,572
17.95,567
18,570
18.05,585
18.1,571
18.15,581
18.2,640
18.25,622
18.3,606
18.35,648
18.4,602
18.45,603
18.5,575
18.55,621
18.6,584
18.65,600
18.7,606
18.75,616
18.8,640
18.85,605
18.9,611
18.95,587
19,606
19.05,616
19.1,572
19.15,606
19.2,619
19.25,591
19.3,602
19.35,608
19.4,580
19.45,613
19.5,587
19.55,572
19.6,590
19.65,628
19.7,589
19.75,589
19.8,589
19.85,590
19.9,608
19.95,644
20,608
20.05,635
20.1,592
20.15,620
20.2,592
20.25,606
20.3,639
20.35,586
20.4,601
20.45,648
20.5,650
20.55,594
20.6,651
20.65,624
20.7,604
20.75,610
20.8,635
20.85,632
20.9,599
20.95,627
21,613
21.05,625
21.1,603
21.15,632
21.2,627
21.25,620
21.3,605
21.35,631
21.4,643
21.45,645
21.5,629
21.55,668
21.6,622
21.65,601
21.7,602
21.75,667
21.8,584
21.85,652
21.9,658
21.95,644
22,683
22.05,679
22.1,695
22.15,677
22.2,728
22.25,763
22.3,772
22.35,787
22.4,810
22.45,869
22.5,923
22.55,915
22.6,909
22.65,966
22.7,1010
22.75,970
22.8,1031
22.85,1019
22.9,1045
22.95,1054
23,1014
23.05,1003
23.1,1027
23.15,985
